,Kaupunginosa,Huoneisto,TaloTyyppi,m2,Vh(€),Neliöhinta(€),Rakennusvuosi,Kerros,Hissi,Kunto,Tontti,Energialuokka
676,Peltolammi,"3h, k, kph, vh2...",kt,68.0,74000,1088,1970,2/3,ei,tyyd.,vuokra,F2013
677,Hirvikallio,"3h, k, kph/s, e...",rt,89.0,238000,2674,2013,-1/2,ei,hyvä,vuokra,C2018
678,Tesoma,3h+k,kt,65.5,84000,1282,1967,1/3,ei,hyvä,vuokra,C2018
679,Pyynikintori,"3h, k, kph, p",kt,72.0,181000,2514,1960,4/4,on,tyyd.,vuokra,F2013
680,Kaleva,"3h, k, kph/wc, ...",kt,57.0,165000,2895,1963,6/6,on,hyvä,vuokra,F2013
681,Tasanne,"3h, k, s",rt,76.5,180000,2353,1982,1/1,ei,hyvä,oma,E2018
682,Linnainmaa,"3h, k, s/kph, w...",kt,77.0,150500,1955,1984,2/3,ei,tyyd.,oma,D2018
683,Lapinniemi,3h+k+kph+s+eril...,kt,77.0,348000,4519,1999,1/7,on,,oma,D2018
684,Pispala,3h + k + kph/s ...,rt,76.0,325000,4276,2006,1/2,ei,,oma,
685,Pispala,"3h,k,wc, aula, ...",rt,79.0,275000,3481,1989,1/2,ei,,oma,D2018
686,Kaukajärvi,3h+k+oleskeluti...,rt,87.0,200000,2299,2002,2/2,ei,tyyd.,oma,
687,Pappila,"3h, k, s, piha",kt,59.0,194000,3288,2001,1/2,ei,,vuokra,F2013
688,Villilä,"3h,k,s",rt,80.0,215000,2688,1985,1/1,ei,tyyd.,oma,C2018
689,Leinola,"3h,k,s",rt,75.0,147000,1960,1989,1/1,ei,,vuokra,
690,Kaakinmaa,"3h, k, s, khh, ...",kt,88.0,265000,3011,1981,4/7,on,hyvä,oma,C2018
691,Epilä,3h+k+p,kt,75.5,124000,1642,1971,1/2,ei,hyvä,oma,
692,Kissanmaa,"2h, k, kph x 2,...",rt,80.0,250000,3125,1963,1/2,ei,,vuokra,
693,Kaleva,3h+k+kph+et+vh+...,kt,62.0,187000,3016,1961,4/6,on,,vuokra,F2013
694,Hervanta,"3h,k,et,khp/wc,...",kt,74.5,94500,1268,1975,4/6,on,hyvä,oma,D2018
695,Hervanta,"3h, k, s, kph, ...",kt,72.0,131000,1819,1987,7/8,on,hyvä,oma,F2013
696,Kaleva,"3h, k, ruok. ti...",kt,66.0,165000,2500,1960,1/2,ei,,vuokra,G2013
697,Hervanta,3h+k+kph+vh,kt,74.0,87000,1176,1979,2/5,on,,oma,D2018
698,Muotiala,3h + k +s,kt,66.0,201000,3045,2004,1/3,on,,vuokra,
699,Turtola,"3h, k, s, kph/w...",rt,69.0,285000,4130,2011,1/3,ei,hyvä,oma,D2007
700,Lentävänniemi,"3h, k, kph, vh, p",kt,74.5,112000,1503,1975,1/7,on,tyyd.,oma,D2018
701,Villilä,"3h, k, s, psh/w...",rt,79.5,275000,3459,2004,1/2,ei,hyvä,oma,D2007
702,Epilä,"3h, k, rt, th, ...",rt,82.0,204500,2494,1986,2/2,ei,hyvä,oma,E2013
703,Onkiniemi,"3h,k,kph,las.p",kt,72.0,190000,2639,1978,4/7,on,tyyd.,oma,F2013
704,Tammela,3(4)h+k+s,kt,86.0,315000,3663,1941,,on,,vuokra,
705,Keskusta,3h+k,kt,68.0,317000,4662,1969,5/7,on,hyvä,oma,G2013
706,Kaukajärvi,3h+k+p,kt,78.0,138000,1769,1965,2/3,ei,,oma,
707,Janka,3h+k+kph+wc+las...,kt,78.5,190000,2420,2004,1/4,on,hyvä,vuokra,E2018
708,Amuri,3h+k,kt,74.0,225000,3041,1967,1/3,ei,tyyd.,oma,D2018
709,Ratinanranta,"3h, k, s, erill...",kt,96.0,391000,4073,2010,1/5,on,hyvä,,C2018
710,Härmälä,"3h, k, kph/wc, ...",kt,63.5,111500,1756,1969,1/3,ei,tyyd.,vuokra,F2013
711,Janka,"3h, k, kph, s, ...",kt,73.0,185000,2534,2004,3/4,on,,vuokra,E2018
712,Hervanta,"3h,k,kph,vh+las...",kt,77.5,95000,1226,1981,5/5,on,hyvä,oma,F2013
713,Hallila,3h+k+s,kt,79.0,190000,2405,1991,5/5,on,,vuokra,E2018
714,Hyhky,3+k+s+kph+erill...,rt,82.5,235000,2848,2009,2/2,ei,hyvä,oma,C2018
715,Hervanta,3h+k+s,kt,78.0,95000,1218,1986,4/5,on,,oma,
716,Atala,"3h, k, kph, s, ...",rt,80.0,169000,2113,1991,-1/2,ei,hyvä,oma,E2013
717,Viiala,"3h, k, s, kph, ...",kt,81.0,149000,1840,2000,3/3,on,tyyd.,vuokra,F2013
718,Keskusta,"3h, k, halli, ...",kt,103.5,375000,3623,1901,4/5,on,tyyd.,oma,G2013
